Gen_ID,Date,Sex,Length,Location,Phen_num
EGM2018_2014,NA,NA,NA,YNP,NA
EGM2018_2016,NA,NA,NA,YNP,NA
EGM2018_2022,NA,NA,NA,YNP,NA
EGM2018_2023,NA,NA,NA,YNP,NA
EGM2018_2025,NA,NA,NA,YNP,NA
EGM2018_2037,NA,NA,NA,YNP,NA
EGM2018_2040,NA,NA,NA,YNP,NA
EGM2018_2042,NA,NA,NA,YNP,NA
EGM2018_2183,NA,NA,NA,YNP,NA
EGM2018_2335,NA,NA,NA,YNP,NA
EGM2018_2336,NA,NA,NA,YNP,NA
EGM2018_2337,NA,NA,NA,YNP,NA
EGM2018_2338,NA,NA,NA,YNP,NA
EGM2018_2339,NA,NA,NA,YNP,NA
EGM2018_2340,NA,NA,NA,YNP,NA
EGM2018_2341,NA,NA,NA,YNP,NA
EGM2018_2342,NA,NA,NA,YNP,NA
EGM2018_2343,NA,NA,NA,YNP,NA
EGM2018_2345,NA,NA,NA,YNP,NA
EGM2018_2346,NA,NA,NA,YNP,NA
EGM2018_2347,NA,NA,NA,YNP,NA
EGM2018_2348,NA,NA,NA,YNP,NA
EGM2018_2349,NA,NA,NA,YNP,NA
EGM2018_2350,NA,NA,NA,YNP,NA
EGM2018_2351,NA,NA,NA,YNP,NA
EGM2018_2352,NA,NA,NA,YNP,NA
EGM2018_2353,NA,NA,NA,YNP,NA
EGM2018_2354,NA,NA,NA,YNP,NA
EGM2018_2359,NA,NA,NA,YNP,NA
EGM2018_2360,NA,NA,NA,YNP,NA
EGM2018_2361,NA,NA,NA,YNP,NA
EGM2018_2362,NA,NA,NA,YNP,NA
EGM2018_2364,NA,NA,NA,YNP,NA
EGM2018_2365,NA,NA,NA,YNP,NA
EGM2018_2366,NA,NA,NA,YNP,NA
EGM2018_2367,NA,NA,NA,YNP,NA
EGM2018_2368,NA,NA,NA,YNP,NA
WCR2019_0078,5/11/2019,Male ,460,Trout Creek,NA
WCR2019_0137,5/12/2019,Female ,448,Trout Creek,NA
WCR2019_0139,5/12/2019,Female ,455,Trout Creek,NA
WCR2019_0141,5/12/2019,Female ,504,Trout Creek,NA
WCR2019_0142,5/12/2019,Female ,450,Trout Creek,NA
WCR2019_0182,5/13/2019,Female ,483,Trout Creek,NA
WCR2019_0211,5/15/2019,Female ,448,Trout Creek,NA
WCR2019_0242,5/20/2019,Female ,471,Trout Creek,NA
WCR2019_0261,5/21/2019,Female ,485,Trout Creek,NA
WCR2019_0327,5/24/2019,Male ,460,Trout Creek,NA
WCR2019_0342,5/24/2019,Female ,495,Trout Creek,NA
WCR2019_0411,5/24/2019,Female ,434,Trout Creek,NA
WCR2019_0474,5/25/2019,Female ,424,Trout Creek,NA
WCR2019_0485,5/25/2019,Female ,427,Trout Creek,NA
WCR2019_0548,5/26/2019,Male ,340,Trout Creek,NA
WCR2019_0551,5/26/2019,Male ,371,Trout Creek,NA
WCR2019_0554,5/26/2019,Female ,467,Trout Creek,NA
WCR2019_0555,5/26/2019,Female ,440,Trout Creek,NA
WCR2019_0596,5/26/2019,Male ,403,Trout Creek,NA
WCR2019_0060,5/10/2019,Female ,465,Trout Creek,NA
WCR2019_0622,6/13/2019,Female ,497,Trout Creek,NA
WCR2019_0627,6/14/2019,Male ,453,Middle Creek,NA
WCR2019_0634,6/21/2019,Male ,442,Middle Creek,NA
WCR2019_0076,5/11/2019,Female ,440,Trout Creek,NA
WCR2019_0077,5/11/2019,Female ,486,Trout Creek,NA
WCR2019_1048,9/5/19,NA,45,Site 2,NA
WCR2019_1058,9/5/19,NA,39,Site 2,NA
WCR2019_1063,9/5/19,NA,33,Site 3,NA
WCR2019_1069,9/5/19,NA,49,Site 3,NA
WCR2019_1070,9/5/19,NA,39,Site 3,NA
WCR2019_1205,9/13/19,NA,27,Site 2,NA
WCR2019_1206,9/13/19,NA,40,Site 2,NA
WCR2019_1217,9/13/19,NA,43,Site 3,NA
WCR2019_1223,9/13/19,NA,32,Site 3,NA
WCR2019_1429,9/22/19,NA,41,Site 1,NA
WCR2019_1436,9/22/19,NA,47,Site 1,NA
WCR2019_1437,9/22/19,NA,37,Site 1,NA
WCR2019_1440,9/22/19,NA,51,Site 1,NA
WCR2019_1473,9/22/19,NA,42,Site 3,NA
WCR2019_1576,9/27/19,NA,51,Site 1,NA
WCR2019_1582,9/27/19,NA,45,Site 1,NA
WCR2019_1609,9/27/19,NA,37,Site 2,NA
WCR2019_1614,9/27/19,NA,46,Site 3,NA
WCR2019_1694,10/3/19,NA,44,Site 1,NA
WCR2019_1701,10/3/19,NA,43,Site 1,NA
WCR2019_1707,10/3/19,NA,49,Site 1,NA
WCR2019_1708,10/3/19,NA,42,Site 1,NA
WCR2019_1808,10/13/19,NA,53,Site 1,NA
WCR2019_1811,10/13/19,NA,47,Site 1,NA
WCR2019_1837,10/13/19,NA,57,Site 2,NA
WCR2019_1843,10/13/19,NA,48,Site 3,NA
WCR2019_0747,8/18/19,NA,33,Site 1,NA
WCR2019_0760,8/18/19,NA,30,Site 2,NA
WCR2019_0771,8/18/19,NA,29,Site 2,NA
WCR2019_0772,8/18/19,NA,27,Site 2,NA
WCR2019_0912,8/27/19,NA,42,Site 2,NA
WCR2019_0924,8/27/19,NA,26,Site 3,NA
WCR2019_0925,8/27/19,NA,32,Site 3,NA
WCR2020_002,4/18/20,Male,479,Middle,1
WCR2020_003,4/18/20,Male,358,Middle,2
WCR2020_004,4/18/20,Male,471,Middle,0
WCR2020_005,4/18/20,Male,442,Middle,0
WCR2020_006,4/18/20,Male,405,Middle,0
WCR2020_008,4/19/20,Male,506,Middle,1
WCR2020_009,4/19/20,Male,428,Middle,0
WCR2020_010,4/19/20,Male,440,Middle,0
WCR2020_011,4/19/20,Male,402,Middle,1
WCR2020_012,4/20/20,Male,479,Middle,0
WCR2020_013,4/20/20,Male,481,Middle,1
WCR2020_014,4/20/20,Male,473,Middle,1
WCR2020_015,4/20/20,Male,446,Middle,0
WCR2020_016,4/20/20,Male,461,Middle,0
WCR2020_017,4/21/20,Male,488,Middle,0
WCR2020_018,4/21/20,Female,485,Middle,3
