offspring,dam,sire
WCR2019_0646,WCR2019_0267,WCR2019_0494
WCR2019_0648,NA,WCR2019_0103
WCR2019_0649,NA,WCR2019_0088
WCR2019_0650,NA,WCR2019_0088
WCR2019_0654,NA,NA
WCR2019_0662,NA,NA
WCR2019_0664,WCR2019_0532,NA
WCR2019_0665,NA,NA
WCR2019_0666,WCR2019_0565,WCR2019_0216
WCR2019_0669,NA,WCR2019_0216
WCR2019_0670,WCR2019_0076,NA
WCR2019_0677,NA,NA
WCR2019_0682,NA,NA
WCR2019_0686,NA,NA
WCR2019_0693,NA,WCR2019_0122
WCR2019_0698,WCR2019_0337,WCR2019_0405
WCR2019_0702,WCR2019_0318,WCR2019_0088
WCR2019_0709,NA,NA
WCR2019_0717,NA,NA
WCR2019_0719,WCR2019_0194,NA
WCR2019_0722,WCR2019_0361,WCR2019_0047
WCR2019_0725,NA,WCR2019_0461
WCR2019_0728,NA,WCR2019_0516
WCR2019_0731,NA,NA
WCR2019_0735,WCR2019_0337,WCR2019_0405
WCR2019_0736,NA,NA
WCR2019_0738,NA,WCR2019_0088
WCR2019_0744,NA,WCR2019_0122
WCR2019_0786,NA,WCR2019_0216
WCR2019_0787,NA,WCR2019_0461
WCR2019_0789,WCR2019_0421,WCR2019_0548
WCR2019_0791,NA,WCR2019_0150
WCR2019_0795,NA,WCR2019_0216
WCR2019_0801,WCR2019_0420,WCR2019_0405
WCR2019_0802,WCR2019_0479,WCR2019_0398
WCR2019_0803,WCR2019_0420,WCR2019_0325
WCR2019_0804,NA,NA
WCR2019_0805,WCR2019_0337,WCR2019_0405
WCR2019_0811,NA,NA
WCR2019_0818,NA,NA
WCR2019_0820,WCR2019_0474,WCR2019_0047
WCR2019_0827,WCR2019_0474,WCR2019_0516
WCR2019_0832,WCR2019_0524,WCR2019_0451
WCR2019_0836,NA,NA
WCR2019_0839,NA,NA
WCR2019_0840,NA,WCR2019_0279
WCR2019_0841,NA,WCR2019_0461
WCR2019_0845,NA,NA
WCR2019_0847,NA,WCR2019_0461
WCR2019_0848,NA,WCR2019_0088
WCR2019_0849,NA,WCR2019_0014
WCR2019_0856,NA,NA
WCR2019_0860,NA,NA
WCR2019_0866,NA,WCR2019_0359
WCR2019_0868,NA,NA
WCR2019_0870,NA,WCR2019_0461
WCR2019_0873,NA,WCR2019_0088
WCR2019_0874,WCR2019_0064,WCR2019_0451
WCR2019_0876,WCR2019_0324,WCR2019_0161
WCR2019_0878,NA,NA
WCR2019_0880,WCR2019_0337,WCR2019_0405
WCR2019_0882,WCR2019_0337,WCR2019_0405
WCR2019_0932,NA,WCR2019_0475
WCR2019_0936,WCR2019_0420,WCR2019_0405
WCR2019_0937,WCR2019_0409,WCR2019_0039
WCR2019_0938,WCR2019_0479,WCR2019_0088
WCR2019_0941,NA,WCR2019_0047
WCR2019_0944,NA,WCR2019_0461
WCR2019_0945,NA,WCR2019_0445
WCR2019_0948,NA,NA
WCR2019_0950,NA,NA
WCR2019_0953,NA,WCR2019_0150
WCR2019_0954,NA,WCR2019_0088
WCR2019_0955,NA,NA
WCR2019_0956,NA,WCR2019_0475
WCR2019_0957,NA,NA
WCR2019_0959,NA,NA
WCR2019_0964,NA,WCR2019_0258
WCR2019_0967,NA,WCR2019_0088
WCR2019_0969,WCR2019_0496,WCR2019_0161
WCR2019_0970,NA,NA
WCR2019_0973,WCR2019_0390,WCR2019_0213
WCR2019_0974,NA,WCR2019_0279
WCR2019_0977,WCR2019_0324,WCR2019_0258
WCR2019_0978,NA,WCR2019_0539
WCR2019_0980,WCR2019_0474,WCR2019_0516
WCR2019_0982,WCR2019_0421,WCR2019_0388
WCR2019_0984,WCR2019_0280,WCR2019_0537
WCR2019_0985,WCR2019_0421,WCR2019_0258
WCR2019_0987,NA,WCR2019_0327
WCR2019_0988,NA,NA
WCR2019_0989,NA,NA
WCR2019_0991,NA,NA
WCR2019_0997,NA,NA
WCR2019_1000,NA,WCR2019_0461
WCR2019_1001,NA,NA
WCR2019_1003,NA,WCR2019_0516
WCR2019_1005,NA,NA
WCR2019_1008,WCR2019_0223,WCR2019_0088
WCR2019_1012,NA,WCR2019_0088
WCR2019_1013,NA,WCR2019_0327
WCR2019_1014,WCR2019_0420,WCR2019_0325
WCR2019_1017,WCR2019_0252,WCR2019_0088
WCR2019_1019,NA,NA
WCR2019_1020,WCR2019_0212,WCR2019_0206
WCR2019_1021,WCR2019_0064,WCR2019_0088
WCR2019_1022,WCR2019_0252,WCR2019_0088
WCR2019_1024,WCR2019_0536,WCR2019_0463
WCR2019_1026,WCR2019_0064,WCR2019_0039
WCR2019_1028,WCR2019_0420,WCR2019_0325
WCR2019_1076,NA,NA
WCR2019_1078,WCR2019_0420,WCR2019_0405
WCR2019_1082,NA,NA
WCR2019_1083,NA,NA
WCR2019_1084,NA,WCR2019_0088
WCR2019_1087,WCR2019_0420,WCR2019_0405
WCR2019_1091,NA,WCR2019_0150
WCR2019_1092,NA,WCR2019_0313
WCR2019_1095,WCR2019_0252,WCR2019_0405
WCR2019_1099,WCR2019_0119,WCR2019_0405
WCR2019_1100,NA,WCR2019_0122
WCR2019_1101,NA,NA
WCR2019_1102,WCR2019_0334,WCR2019_0405
WCR2019_1104,WCR2019_0421,WCR2019_0388
WCR2019_1105,NA,WCR2019_0216
WCR2019_1106,NA,NA
WCR2019_1107,NA,NA
WCR2019_1109,WCR2019_0579,WCR2019_0405
WCR2019_1110,WCR2019_0536,WCR2019_0463
WCR2019_1111,WCR2019_0420,WCR2019_0325
WCR2019_1118,NA,NA
WCR2019_1119,WCR2019_0532,NA
WCR2019_1122,WCR2019_0536,WCR2019_0463
WCR2019_1127,WCR2019_0256,WCR2019_0088
WCR2019_1128,WCR2019_0594,WCR2019_0206
WCR2019_1129,NA,NA
WCR2019_1130,NA,WCR2019_0088
WCR2019_1132,NA,NA
WCR2019_1137,NA,WCR2019_0122
WCR2019_1138,WCR2019_0421,WCR2019_0258
WCR2019_1144,NA,WCR2019_0047
WCR2019_1146,WCR2019_0524,WCR2019_0451
WCR2019_1147,NA,NA
WCR2019_1151,NA,WCR2019_0359
WCR2019_1153,NA,WCR2019_0150
WCR2019_1154,NA,NA
WCR2019_1156,NA,NA
