year,brood,offspring,rank,dam,sire,dam.type,sire.type,hothiphop.parents,hiphop,hot.parents,hot.dam,hot.sire,hothiphop.dam,hothiphop.sire,below.threshold,threshold,loci.dyad.dam,loci.dyad.sire,loci.triad,offspring.heterozygosity,social.mother.sampled,social.father.sampled,social.mother,social.father,condition,ranking,ranking2
2019,1,WCR2019_0646,1,WCR2019_0267,WCR2019_0494,within-group subordinate,within-group subordinate,9,0,9,6,3,6,3,1,99999,845,854,840,0.429569266589057,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0646,2,WCR2019_0119,WCR2019_0494,within-group subordinate,within-group subordinate,41,22,19,17,3,39,25,1,99999,858,854,853,0.429569266589057,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0646,3,WCR2019_0256,WCR2019_0494,within-group subordinate,within-group subordinate,41,19,22,19,3,38,22,1,99999,856,854,851,0.429569266589057,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0648,1,WCR2019_0223,WCR2019_0103,within-group subordinate,within-group subordinate,44,21,23,22,1,43,22,1,99999,418,725,416,0.389270976616231,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0648,2,WCR2019_0440,WCR2019_0103,within-group subordinate,within-group subordinate,50,33,17,16,1,49,34,1,99999,483,725,481,0.389270976616231,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0648,3,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,50,23,27,22,38,45,61,1,99999,418,637,359,0.389270976616231,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0649,1,WCR2019_0223,WCR2019_0088,within-group subordinate,within-group subordinate,30,20,10,14,3,34,23,1,99999,487,646,381,0.472027972027972,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0649,2,WCR2019_0223,WCR2019_0122,within-group subordinate,within-group subordinate,39,25,14,14,2,39,27,1,99999,487,846,480,0.472027972027972,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0649,3,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,39,25,14,14,0,39,25,1,99999,487,827,472,0.472027972027972,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0650,1,WCR2019_0223,WCR2019_0088,within-group subordinate,within-group subordinate,34,22,12,18,3,40,25,1,99999,488,645,381,0.490675990675991,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0650,2,WCR2019_0440,WCR2019_0122,within-group subordinate,within-group subordinate,41,24,17,16,3,40,27,1,99999,567,846,561,0.490675990675991,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0650,3,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,46,28,18,18,3,46,31,1,99999,488,827,473,0.490675990675991,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0654,1,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,41,20,21,21,12,41,32,1,99999,486,826,471,0.43757292882147,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0654,2,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,47,27,20,21,18,48,45,1,99999,486,760,424,0.43757292882147,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0654,3,WCR2019_0223,WCR2019_0122,within-group subordinate,within-group subordinate,50,24,26,21,15,45,39,1,99999,486,845,479,0.43757292882147,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0656,1,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,67,34,33,26,38,60,72,1,99999,488,761,425,0.383003492433062,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0656,2,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,68,24,44,26,50,50,74,1,99999,488,626,355,0.383003492433062,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0656,3,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,75,36,39,26,31,62,67,1,99999,488,828,473,0.383003492433062,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0658,1,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,61,22,39,26,47,48,69,1,99999,488,627,356,0.377182770663562,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0658,2,WCR2019_0223,WCR2019_0327,within-group subordinate,within-group subordinate,67,34,33,26,34,60,68,1,99999,488,828,473,0.377182770663562,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0658,3,WCR2019_0223,WCR2019_0061,within-group subordinate,within-group subordinate,70,32,38,26,44,58,76,1,99999,488,762,426,0.377182770663562,0,0,NA,NA,none,hothiphop.parents,hot.parents
2019,1,WCR2019_0659,1,WCR2019_0223,WCR2019_0087,within-group subordinate,within-group subordinate,73,24,49,40,52,64,76,1,99999,489,624,356,0.344224037339557,0,0,NA,NA,none,hothiphop.parents,hot.parents
