dam,sire
WCR2019_0267,WCR2019_0494
WCR2019_0565,WCR2019_0216
WCR2019_0337,WCR2019_0031
WCR2019_0337,WCR2019_0047
WCR2019_0421,WCR2019_0548
WCR2019_0056,WCR2019_0088
WCR2019_0409,WCR2019_0291
WCR2019_0420,WCR2019_0516
WCR2019_0524,WCR2019_0451
WCR2019_0056,WCR2019_0068
WCR2019_0337,WCR2019_0405
WCR2019_0337,WCR2019_0265
WCR2019_0056,WCR2019_0068
WCR2019_0333,WCR2019_0339
WCR2019_0390,WCR2019_0213
WCR2019_0421,WCR2019_0258
WCR2019_0326,WCR2019_0068
WCR2019_0324,WCR2019_0339
WCR2019_0212,WCR2019_0206
WCR2019_0409,WCR2019_0291
WCR2019_0117,WCR2019_0068
WCR2019_0536,WCR2019_0463
WCR2019_0540,WCR2019_0291
WCR2019_0420,WCR2019_0325
WCR2019_0333,WCR2019_0339
WCR2019_0489,WCR2019_0291
WCR2019_0262,WCR2019_0265
WCR2019_0252,WCR2019_0206
WCR2019_0421,WCR2019_0388
WCR2019_0536,WCR2019_0463
WCR2019_0011,WCR2019_0068
WCR2019_0536,WCR2019_0463
WCR2019_0421,WCR2019_0258
WCR2019_0524,WCR2019_0451
WCR2019_0262,WCR2019_0265
WCR2019_0117,WCR2019_0088
WCR2019_0536,WCR2019_0463
WCR2019_0505,WCR2019_0516
WCR2019_0420,WCR2019_0325
WCR2019_0056,WCR2019_0068
WCR2019_0534,WCR2019_0447
WCR2019_0421,WCR2019_0258
WCR2019_0011,WCR2019_0068
WCR2019_0340,WCR2019_0339
WCR2019_0119,WCR2019_0258
WCR2019_0324,WCR2019_0339
WCR2019_0505,WCR2019_0516
WCR2019_0056,WCR2019_0206
WCR2019_0536,WCR2019_0463
WCR2019_0117,WCR2019_0088
WCR2019_0280,WCR2019_0286
WCR2019_0262,WCR2019_0265
WCR2019_0530,WCR2019_0388
WCR2019_0055,WCR2019_0258
WCR2019_0324,WCR2019_0339
WCR2019_0344,WCR2019_0313
WCR2019_0252,WCR2019_0206
WCR2019_0505,WCR2019_0047
WCR2019_0536,WCR2019_0463
WCR2019_0310,WCR2019_0339
WCR2019_0011,WCR2019_0519
WCR2019_0567,WCR2019_0066
WCR2019_0530,WCR2019_0388
WCR2019_0055,WCR2019_0291
WCR2019_0479,WCR2019_0388
WCR2019_0324,WCR2019_0325
WCR2019_0117,WCR2019_0088
WCR2019_0280,WCR2019_0286
WCR2019_0559,WCR2019_0539
