offspring,dam,sire
WCR2019_0646,WCR2019_0267,WCR2019_0494
WCR2019_0666,WCR2019_0565,WCR2019_0216
WCR2019_0698,WCR2019_0337,WCR2019_0405
WCR2019_0702,WCR2019_0318,WCR2019_0088
WCR2019_0722,WCR2019_0361,WCR2019_0047
WCR2019_0735,WCR2019_0337,WCR2019_0405
WCR2019_0789,WCR2019_0421,WCR2019_0548
WCR2019_0801,WCR2019_0420,WCR2019_0405
WCR2019_0802,WCR2019_0479,WCR2019_0398
WCR2019_0803,WCR2019_0420,WCR2019_0325
WCR2019_0805,WCR2019_0337,WCR2019_0405
WCR2019_0820,WCR2019_0474,WCR2019_0047
WCR2019_0827,WCR2019_0474,WCR2019_0516
WCR2019_0832,WCR2019_0524,WCR2019_0451
WCR2019_0874,WCR2019_0064,WCR2019_0451
WCR2019_0876,WCR2019_0324,WCR2019_0161
WCR2019_0880,WCR2019_0337,WCR2019_0405
WCR2019_0882,WCR2019_0337,WCR2019_0405
WCR2019_0936,WCR2019_0420,WCR2019_0405
WCR2019_0937,WCR2019_0409,WCR2019_0039
WCR2019_0938,WCR2019_0479,WCR2019_0088
WCR2019_0969,WCR2019_0496,WCR2019_0161
WCR2019_0973,WCR2019_0390,WCR2019_0213
WCR2019_0977,WCR2019_0324,WCR2019_0258
WCR2019_0980,WCR2019_0474,WCR2019_0516
WCR2019_0982,WCR2019_0421,WCR2019_0388
WCR2019_0984,WCR2019_0280,WCR2019_0537
WCR2019_0985,WCR2019_0421,WCR2019_0258
WCR2019_1008,WCR2019_0223,WCR2019_0088
WCR2019_1014,WCR2019_0420,WCR2019_0325
WCR2019_1017,WCR2019_0252,WCR2019_0088
WCR2019_1020,WCR2019_0212,WCR2019_0206
WCR2019_1021,WCR2019_0064,WCR2019_0088
WCR2019_1022,WCR2019_0252,WCR2019_0088
WCR2019_1024,WCR2019_0536,WCR2019_0463
WCR2019_1026,WCR2019_0064,WCR2019_0039
WCR2019_1028,WCR2019_0420,WCR2019_0325
WCR2019_1078,WCR2019_0420,WCR2019_0405
WCR2019_1087,WCR2019_0420,WCR2019_0405
WCR2019_1095,WCR2019_0252,WCR2019_0405
WCR2019_1099,WCR2019_0119,WCR2019_0405
WCR2019_1102,WCR2019_0334,WCR2019_0405
WCR2019_1104,WCR2019_0421,WCR2019_0388
WCR2019_1109,WCR2019_0579,WCR2019_0405
WCR2019_1110,WCR2019_0536,WCR2019_0463
WCR2019_1111,WCR2019_0420,WCR2019_0325
WCR2019_1122,WCR2019_0536,WCR2019_0463
WCR2019_1127,WCR2019_0256,WCR2019_0088
WCR2019_1128,WCR2019_0594,WCR2019_0206
WCR2019_1138,WCR2019_0421,WCR2019_0258
WCR2019_1146,WCR2019_0524,WCR2019_0451
WCR2019_1159,WCR2019_0420,WCR2019_0325
WCR2019_1163,WCR2019_0579,WCR2019_0518
WCR2019_1168,WCR2019_0223,WCR2019_0088
WCR2019_1171,WCR2019_0420,WCR2019_0325
WCR2019_1174,WCR2019_0119,WCR2019_0405
WCR2019_1339,WCR2019_0420,WCR2019_0325
WCR2019_1340,WCR2019_0536,WCR2019_0463
WCR2019_1345,WCR2019_0474,WCR2019_0516
WCR2019_1348,WCR2019_0420,WCR2019_0325
WCR2019_1351,WCR2019_0479,WCR2019_0405
WCR2019_1356,WCR2019_0534,WCR2019_0066
WCR2019_1360,WCR2019_0440,WCR2019_0122
WCR2019_1370,WCR2019_0534,WCR2019_0447
WCR2019_1373,WCR2019_0267,WCR2019_0122
WCR2019_1378,WCR2019_0421,WCR2019_0258
WCR2019_1383,WCR2019_0252,WCR2019_0405
WCR2019_1397,WCR2019_0496,WCR2019_0088
WCR2019_1398,WCR2019_0522,WCR2019_0537
WCR2019_1399,WCR2019_0334,WCR2019_0157
WCR2019_1402,WCR2019_0440,WCR2019_0122
WCR2019_1414,WCR2019_0223,WCR2019_0327
WCR2019_1479,WCR2019_0474,WCR2019_0327
WCR2019_1490,WCR2019_0223,WCR2019_0088
WCR2019_1502,WCR2019_0579,WCR2019_0405
WCR2019_1504,WCR2019_0361,WCR2019_0327
WCR2019_1506,WCR2019_0252,WCR2019_0405
WCR2019_1507,WCR2019_0489,WCR2019_0516
WCR2019_1508,WCR2019_0119,WCR2019_0405
WCR2019_1509,WCR2019_0252,WCR2019_0388
WCR2019_1512,WCR2019_0536,WCR2019_0463
WCR2019_1518,WCR2019_0534,WCR2019_0066
WCR2019_1523,WCR2019_0252,WCR2019_0405
WCR2019_1531,WCR2019_0280,WCR2019_0286
WCR2019_1540,WCR2019_0534,WCR2019_0519
WCR2019_1545,WCR2019_0334,WCR2019_0405
WCR2019_1546,WCR2019_0530,WCR2019_0405
WCR2019_1551,WCR2019_0334,WCR2019_0258
WCR2019_1560,WCR2019_0579,WCR2019_0405
WCR2019_1562,WCR2019_0344,WCR2019_0313
WCR2019_1565,WCR2019_0333,WCR2019_0537
WCR2019_1566,WCR2019_0334,WCR2019_0405
WCR2019_1568,WCR2019_0256,WCR2019_0047
WCR2019_1570,WCR2019_0536,WCR2019_0463
WCR2019_1634,WCR2019_0420,WCR2019_0325
WCR2019_1641,WCR2019_0420,WCR2019_0325
WCR2019_1645,WCR2019_0252,WCR2019_0405
WCR2019_1650,WCR2019_0334,WCR2019_0519
WCR2019_1652,WCR2019_0567,WCR2019_0066
WCR2019_1663,WCR2019_0252,WCR2019_0157
WCR2019_1684,WCR2019_0530,WCR2019_0405
WCR2019_1744,WCR2019_0474,WCR2019_0451
WCR2019_1745,WCR2019_0479,WCR2019_0405
WCR2019_1752,WCR2019_0420,WCR2019_0325
WCR2019_1754,WCR2019_0467,WCR2019_0039
WCR2019_1758,WCR2019_0252,WCR2019_0405
WCR2019_1766,WCR2019_0280,WCR2019_0286
WCR2019_1784,WCR2019_0267,WCR2019_0327
WCR2019_1787,WCR2019_0559,WCR2019_0539
