"","gen_ID","entry_date","exit_date","difference"
"1","WR2019_0080",2019-05-11,2019-06-28,48
"2","WR2019_0016",2019-04-24,2019-06-15,52
"3","WR2019_0057",2019-05-09,2019-09-08,122
"4","WR2019_0020",2019-04-25,2019-06-28,64
"5","WR2019_0051",2019-05-07,2019-05-18,11
"6","WR2019_0065",2019-05-10,2019-07-02,53
"7","WR2019_0039",2019-05-04,2019-06-27,54
"8","WR2019_0069",2019-05-11,2019-06-12,32
"9","WR2019_0064",2019-05-10,2019-09-21,134
"10","WR2019_0027",2019-04-29,2019-05-18,19
"11","WR2019_0082",2019-05-11,2019-05-19,8
"12","WR2019_0061",2019-05-10,2019-07-13,64
"13","WR2019_0029",2019-05-03,2019-06-28,56
"14","WR2019_0021",2019-04-25,2019-06-11,47
"15","WR2019_0047",2019-05-05,2019-09-12,130
"16","WR2019_0049",2019-05-07,2019-09-26,142
"17","WR2019_0075",2019-05-11,2019-07-05,55
"18","WR2019_0150",2019-05-13,2019-09-12,122
"19","WR2019_0111",2019-05-12,2019-06-18,37
"20","WR2019_0118",2019-05-12,2019-06-17,36
"21","WR2019_0222",2019-05-15,2019-06-27,43
"22","WR2019_0139",2019-05-12,2019-06-11,30
"23","WR2019_0124",2019-05-12,2019-06-26,45
"24","WR2019_0153",2019-05-13,2019-09-20,130
"25","WR2019_0185",2019-05-13,2019-06-15,33
"26","WR2019_0138",2019-05-12,2019-06-15,34
"27","WR2019_0127",2019-05-12,2019-06-27,46
"28","WR2019_0186",2019-05-13,2019-06-15,33
"29","WR2019_0156",2019-05-13,2019-06-23,41
"30","WR2019_0172",2019-05-13,2019-06-17,35
"31","WR2019_0158",2019-05-13,2019-07-01,49
"32","WR2019_0117",2019-05-12,2019-06-11,30
"33","WR2019_0228",2019-05-16,2019-06-15,30
"34","WR2019_0247",2019-05-20,2019-06-28,39
"35","WR2019_0246",2019-05-20,2019-06-16,27
"36","WR2019_0229",2019-05-16,2019-05-18,2
"37","WR2019_0275",2019-05-22,2019-06-19,28
"38","WR2019_0276",2019-05-22,2019-06-26,35
"39","WR2019_0219",2019-05-15,2019-06-11,27
"40","WR2019_0268",2019-05-22,2019-08-09,79
"41","WR2019_0248",2019-05-21,2019-06-22,32
"42","WR2019_0288",2019-05-22,2019-06-23,32
"43","WR2019_0240",2019-05-20,2019-07-11,52
"44","WR2019_0260",2019-05-21,2019-07-05,45
"45","WR2019_0202",2019-05-13,2019-07-03,51
"46","WR2019_0257",2019-05-21,2019-08-17,88
"47","WR2019_0212",2019-05-15,2019-06-22,38
"48","WR2019_0256",2019-05-21,2019-06-21,31
"49","WR2019_0244",2019-05-20,2019-08-28,100
"50","WR2019_0206",2019-05-13,2019-07-07,55
"51","WR2019_0220",2019-05-15,2019-06-13,29
"52","WR2019_0259",2019-05-21,2019-06-24,34
"53","WR2019_0279",2019-05-22,2019-07-12,51
"54","WR2019_0213",2019-05-15,2019-09-19,127
"55","WR2019_0196",2019-05-13,2019-06-06,24
"56","WR2019_0378",2019-05-24,2019-06-25,32
"57","WR2019_0336",2019-05-24,2019-08-22,90
"58","WR2019_0323",2019-05-24,2019-07-05,42
"59","WR2019_0328",2019-05-24,2019-06-26,33
"60","WR2019_0377",2019-05-24,2019-08-26,94
"61","WR2019_0320",2019-05-24,2019-06-15,22
"62","WR2019_0341",2019-05-24,2019-07-09,46
"63","WR2019_0354",2019-05-24,2019-06-11,18
"64","WR2019_0386",2019-05-24,2019-06-12,19
"65","WR2019_0342",2019-05-24,2019-06-23,30
"66","WR2019_0318",2019-05-24,2019-06-23,30
"67","WR2019_0375",2019-05-24,2019-06-19,26
"68","WR2019_0376",2019-05-24,2019-06-16,23
"69","WR2019_0344",2019-05-24,2019-07-09,46
"70","WR2019_0347",2019-05-24,2019-07-18,55
"71","WR2019_0334",2019-05-24,2019-07-11,48
"72","WR2019_0392",2019-05-24,2019-06-25,32
"73","WR2019_0359",2019-05-24,2019-07-25,62
"74","WR2019_0298",2019-05-23,2019-06-12,20
"75","WR2019_0335",2019-05-24,2019-07-12,49
"76","WR2019_0352",2019-05-24,2019-06-20,27
"77","WR2019_0316",2019-05-24,2019-07-02,39
"78","WR2019_0305",2019-05-23,2019-07-02,40
"79","WR2019_0355",2019-05-24,2019-06-30,37
"80","WR2019_0374",2019-05-24,2019-06-29,36
"81","WR2019_0380",2019-05-24,2019-06-24,31
"82","WR2019_0312",2019-05-23,2019-09-08,108
"83","WR2019_0311",2019-05-23,2019-06-07,15
"84","WR2019_0302",2019-05-23,2019-06-11,19
"85","WR2019_0348",2019-05-24,2019-06-09,16
"86","WR2019_0331",2019-05-24,2019-09-21,120
"87","WR2019_0301",2019-05-23,2019-06-27,35
"88","WR2019_0307",2019-05-23,2019-06-26,34
"89","WR2019_0349",2019-05-24,2019-07-03,40
"90","WR2019_0296",2019-05-22,2019-07-08,47
"91","WR2019_0361",2019-05-24,2019-07-19,56
"92","WR2019_0327",2019-05-24,2019-09-10,109
"93","WR2019_0309",2019-05-23,2019-06-14,22
"94","WR2019_0356",2019-05-24,2019-06-08,15
"95","WR2019_0295",2019-05-22,2019-07-18,57
"96","WR2019_0383",2019-05-24,2019-06-09,16
"97","WR2019_0367",2019-05-24,2019-06-07,14
"98","WR2019_0343",2019-05-24,2019-06-05,12
"99","WR2019_0362",2019-05-23,2019-06-18,26
"100","WR2019_0314",2019-05-23,2019-06-18,26
"101","WR2019_0324",2019-05-24,2019-06-25,32
"102","WR2019_0315",2019-05-23,2019-06-16,24
"103","WR2019_0437",2019-05-25,2019-06-26,32
"104","WR2019_0429",2019-05-24,2019-06-11,18
"105","WR2019_0480",2019-05-25,2019-07-26,62
"106","WR2019_0488",2019-05-25,2019-07-20,56
"107","WR2019_0487",2019-05-25,2019-06-22,28
"108","WR2019_0436",2019-05-25,2019-06-28,34
"109","WR2019_0460",2019-05-25,2019-07-10,46
"110","WR2019_0454",2019-05-25,2019-09-24,122
"111","WR2019_0465",2019-05-25,2019-06-14,20
"112","WR2019_0489",2019-05-25,2019-06-13,19
"113","WR2019_0445",2019-05-25,2019-08-11,78
"114","WR2019_0439",2019-05-25,2019-06-12,18
"115","WR2019_0484",2019-05-25,2019-06-30,36
"116","WR2019_0477",2019-05-25,2019-06-20,26
"117","WR2019_0453",2019-05-25,2019-06-09,15
"118","WR2019_0486",2019-05-25,2019-07-06,42
"119","WR2019_0415",2019-05-24,2019-06-23,30
"120","WR2019_0475",2019-05-25,2019-07-19,55
"121","WR2019_0403",2019-05-24,2019-07-11,48
"122","WR2019_0461",2019-05-25,2019-09-14,112
"123","WR2019_0490",2019-05-25,2019-08-01,68
"124","WR2019_0404",2019-05-24,2019-07-04,41
"125","WR2019_0406",2019-05-24,2019-06-25,32
"126","WR2019_0485",2019-05-25,2019-07-18,54
"127","WR2019_0427",2019-05-24,2019-06-29,36
"128","WR2019_0412",2019-05-24,2019-09-21,120
"129","WR2019_0413",2019-05-24,2019-07-11,48
"130","WR2019_0407",2019-05-24,2019-07-22,59
"131","WR2019_0414",2019-05-24,2019-06-12,19
"132","WR2019_0469",2019-05-25,2019-06-24,30
"133","WR2019_0420",2019-05-24,2019-07-12,49
"134","WR2019_0422",2019-05-24,2019-06-08,15
"135","WR2019_0418",2019-05-24,2019-06-11,18
"136","WR2019_0426",2019-05-24,2019-06-23,30
"137","WR2019_0424",2019-05-24,2019-06-15,22
"138","WR2019_0396",2019-05-24,2019-06-16,23
"139","WR2019_0441",2019-05-25,2019-06-24,30
"140","WR2019_0449",2019-05-25,2019-06-26,32
"141","WR2019_0401",2019-05-24,2019-09-14,113
"142","WR2019_0394",2019-05-24,2019-06-24,31
"143","WR2019_0580",2019-05-26,2019-07-06,41
"144","WR2019_0573",2019-05-26,2019-06-08,13
"145","WR2019_0575",2019-05-26,2019-07-23,58
"146","WR2019_0558",2019-05-26,2019-06-24,29
"147","WR2019_0576",2019-05-26,2019-06-22,27
"148","WR2019_0551",2019-05-26,2019-07-08,43
"149","WR2019_0548",2019-05-26,2019-09-12,109
"150","WR2019_0568",2019-05-26,2019-06-06,11
"151","WR2019_0585",2019-05-26,2019-06-27,32
"152","WR2019_0530",2019-05-26,2019-09-17,114
"153","WR2019_0543",2019-05-26,2019-06-08,13
"154","WR2019_0516",2019-05-26,2019-06-06,11
"155","WR2019_0534",2019-05-26,2019-07-05,40
"156","WR2019_0562",2019-05-26,2019-07-08,43
"157","WR2019_0520",2019-05-26,2019-07-09,44
"158","WR2019_0552",2019-05-26,2019-06-12,17
"159","WR2019_0538",2019-05-26,2019-07-02,37
"160","WR2019_0509",2019-05-25,2019-09-06,104
"161","WR2019_0539",2019-05-26,2019-07-25,60
"162","WR2019_0566",2019-05-26,2019-07-07,42
"163","WR2019_0590",2019-05-26,2019-07-11,46
"164","WR2019_0533",2019-05-26,2019-08-04,70
"165","WR2019_0561",2019-05-26,2019-06-25,30
"166","WR2019_0540",2019-05-26,2019-07-06,41
"167","WR2019_0504",2019-05-25,2019-06-26,32
"168","WR2019_0512",2019-05-25,2019-07-08,44
"169","WR2019_0547",2019-05-26,2019-06-23,28
"170","WR2019_0510",2019-05-25,2019-06-17,23
"171","WR2019_0536",2019-05-26,2019-09-20,117
"172","WR2019_0584",2019-05-26,2019-09-20,117
"173","WR2019_0574",2019-05-26,2019-06-11,16
"174","WR2019_0506",2019-05-25,2019-07-13,49
"175","WR2019_0496",2019-05-25,2019-06-29,35
"176","WR2019_0499",2019-05-25,2019-06-09,15
"177","WR2019_0497",2019-05-25,2019-09-28,126
"178","WR2019_0491",2019-05-25,2019-07-01,37
"179","WR2019_0519",2019-05-26,2019-06-07,12
"180","WR2019_0498",2019-05-25,2019-06-19,25
"181","WR2019_0542",2019-05-26,2019-06-28,33
"182","WR2019_0589",2019-05-26,2019-06-26,31
"183","WR2019_0587",2019-05-26,2019-06-15,20
"184","WR2019_0565",2019-05-26,2019-06-15,20
"185","WR2019_0525",2019-05-26,2019-09-20,117
"186","WR2019_0554",2019-05-26,2019-09-20,117
"187","WR2019_0567",2019-05-26,2019-06-08,13
"188","WR2019_0503",2019-05-25,2019-06-21,27
"189","WR2019_0612",2019-05-31,2019-06-11,11
"190","WR2019_0616",2019-06-07,2019-06-11,4
"191","WR2019_0637",2019-06-24,2019-08-05,42
"192","WR2019_0615",2019-06-05,2019-06-09,4
"193","WR2019_0638",2019-06-24,2019-08-29,66
"194","WR2019_0604",2019-05-26,2019-06-05,10
"195","WR2019_0642",2019-07-03,2019-07-09,6
"196","WR2019_0630",2019-06-15,2019-06-15,0
"197","WR2019_0593",2019-05-26,2019-06-06,11
"198","WR2019_0602",2019-05-26,2019-06-30,35
"199","WR2019_0594",2019-05-26,2019-06-09,14
"200","WR2019_0603",2019-05-26,2019-06-12,17
"201","WR2019_0611",2019-05-31,2019-07-11,41
"202","WR2019_0605",2019-05-26,2019-06-15,20
"203","WR2019_0592",2019-05-26,2019-06-09,14
